dataset,model,target_kind,rule,target,baseline_recall,final_recall,min_budget,frac_from_target_class_at_min,max_budget_tested,acc_delta,macro_f1_delta,ece_delta,tpcr,stealth_ok_at_min_budget,audit_acc_delta,audit_ece_delta
nsl_kdd_v2,dnn_5class_cw,fragile,block_greedy,R2L,0.07383015597920277,0.0,0.0050009922603691205,0.9920634920634921,0.10001984520738241,-0.09825230660042583,-0.13359181975723788,0.1496048873379039,0.18625798438608943,True,-0.07148243699146661,0.11711421349391667
nsl_kdd_v2,dnn_5class_cw,fragile,block_greedy_stealth,R2L,0.07383015597920277,0.07383015597920277,,,0.001230402857709863,0.0,0.0,0.007307182364557435,0.07354506742370476,False,0.0,0.0008699761086870738
nsl_kdd_v2,dnn_5class_cw,fragile,highest_pt,R2L,0.07383015597920277,0.0,0.0050009922603691205,0.9920634920634921,0.10001984520738241,-0.09825230660042583,-0.13359181975723788,0.1496048873379039,0.18625798438608943,True,-0.07148243699146661,0.11711421349391667
nsl_kdd_v2,dnn_5class_cw,fragile,random,R2L,0.07383015597920277,0.02391681109185442,0.10001984520738241,0.01865079365079365,0.10001984520738241,-0.014460610361958781,-0.0509042692418854,0.04048218076553245,0.08955819730305181,False,-0.00047628497717799867,0.09740827371335287
nsl_kdd_v2,dnn_5class_cw,stable,block_greedy,DoS,0.8315013404825737,0.8230563002680965,,,0.10001984520738241,-0.002794535131298792,-0.0014008851469484718,0.024667574876512582,0.07656139105748758,False,-0.00019845207382418462,0.10089193624959192
nsl_kdd_v2,dnn_5class_cw,stable,block_greedy_stealth,DoS,0.8315013404825737,0.8315013404825737,,,0.001230402857709863,0.0,0.0,0.007307182364557435,0.07354506742370476,False,0.0,0.0008699761086870738
nsl_kdd_v2,dnn_5class_cw,stable,highest_pt,DoS,0.8315013404825737,0.8313672922252011,,,0.10001984520738241,-4.435770049682208e-05,-2.2659926940171715e-05,0.021659682281825243,0.07358942512420157,False,0.0,0.1010418119100739
nsl_kdd_v2,dnn_5class_cw,stable,random,DoS,0.8315013404825737,0.820509383378016,,,0.10001984520738241,-0.014460610361958781,-0.0509042692418854,0.04048218076553245,0.08955819730305181,False,-0.00047628497717799867,0.09740827371335287
nsl_kdd_v2,dnn_5class_smote,fragile,block_greedy,R2L,0.05545927209705372,0.0,0.010001984520738241,0.7896825396825397,0.10001984520738241,-0.10654719659332856,-0.1459591444687655,0.11080375621143335,0.1619056068133428,False,-0.07465767017265323,0.056821978844986375
nsl_kdd_v2,dnn_5class_smote,fragile,block_greedy_stealth,R2L,0.05545927209705372,0.05545927209705372,,,0.0008731891248263545,0.0,0.0,0.0027506552195725453,0.027235628105039034,False,0.0,0.00019553294653194668
nsl_kdd_v2,dnn_5class_smote,fragile,highest_pt,R2L,0.05545927209705372,0.0,0.010001984520738241,0.7896825396825397,0.10001984520738241,-0.10654719659332856,-0.1459591444687655,0.11082112993216015,0.1619056068133428,False,-0.07465767017265323,0.05684666020696044
nsl_kdd_v2,dnn_5class_smote,fragile,random,R2L,0.05545927209705372,0.028422876949740036,,,0.10001984520738241,-0.010911994322214347,-0.05244570680021732,0.028087251153059933,0.044579488999290276,False,-0.0003969041476482582,0.09802213228139497
nsl_kdd_v2,dnn_5class_smote,stable,block_greedy,DoS,0.8379356568364611,0.8379356568364611,,,0.10001984520738241,-0.000532292405961643,-0.03702742111464019,0.021131195101399852,0.02976401703335699,False,0.00019845207382418462,0.10084736598373858
nsl_kdd_v2,dnn_5class_smote,stable,block_greedy_stealth,DoS,0.8379356568364611,0.8379356568364611,,,0.0008731891248263545,0.0,0.0,0.0027506552195725453,0.027235628105039034,False,0.0,0.00019553294653194668
nsl_kdd_v2,dnn_5class_smote,stable,highest_pt,DoS,0.8379356568364611,0.8379356568364611,,,0.10001984520738241,-0.000532292405961643,-0.03702742111464019,0.021131195101399852,0.02976401703335699,False,0.00019845207382418462,0.10084736598373858
nsl_kdd_v2,dnn_5class_smote,stable,random,DoS,0.8379356568364611,0.8223860589812333,,,0.10001984520738241,-0.010911994322214347,-0.05244570680021732,0.028087251153059933,0.044579488999290276,False,-0.0003969041476482582,0.09802213228139497
nsl_kdd_v2,rf_5class_cw,fragile,block_greedy,R2L,0.04991334488734835,0.0,0.0050009922603691205,1.0,0.10001984520738241,-0.05997161107168203,-0.09184311481221558,0.013587886188001552,0.027812278211497517,True,-0.009009724151617382,0.10177014196429858
nsl_kdd_v2,rf_5class_cw,fragile,block_greedy_stealth,R2L,0.04991334488734835,0.0034662045060658577,0.0010319507838856916,0.46153846153846156,0.0010716411986505258,-0.03819198012775016,-0.07356724479960175,0.0524891804328971,0.0035042583392476934,True,-0.0003175233181187398,0.0008890501237694533
nsl_kdd_v2,rf_5class_cw,fragile,highest_pt,R2L,0.04991334488734835,0.0,0.0050009922603691205,1.0,0.10001984520738241,-0.05997161107168203,-0.09184311481221558,0.013587886188001552,0.027812278211497517,True,-0.009009724151617382,0.10177014196429858
nsl_kdd_v2,rf_5class_cw,fragile,random,R2L,0.04991334488734835,0.0440207972270364,,,0.10001984520738241,-0.041119588360539416,-0.034032194446162345,0.024407659126975262,0.017166430092264016,False,-3.969041476492574e-05,0.09967836847214603
nsl_kdd_v2,rf_5class_cw,stable,block_greedy,DoS,0.8288203753351207,0.7400804289544236,,,0.10001984520738241,-0.029009936124911317,-0.017239315183477877,0.04220379663557142,0.02550567778566359,False,0.0,0.1010245324273354
nsl_kdd_v2,rf_5class_cw,stable,block_greedy_stealth,DoS,0.8288203753351207,0.7656836461126005,,,0.0010716411986505258,-0.03819198012775016,-0.07356724479960175,0.0524891804328971,0.0035042583392476934,False,-0.0003175233181187398,0.0008890501237694533
nsl_kdd_v2,rf_5class_cw,stable,highest_pt,DoS,0.8288203753351207,0.8288203753351207,,,0.10001984520738241,-4.435770049682208e-05,-6.211332775485356e-05,0.026691790824892314,0.04772888573456352,False,0.0,0.1010404540143753
nsl_kdd_v2,rf_5class_cw,stable,random,DoS,0.8288203753351207,0.7329758713136729,,,0.10001984520738241,-0.041119588360539416,-0.034032194446162345,0.024407659126975262,0.017166430092264016,False,-3.969041476492574e-05,0.09967836847214603
nsl_kdd_v2,rf_5class_smote,fragile,block_greedy,Probe,0.6641883519206939,0.0,0.10001984520738241,0.925,0.10001984520738241,-0.13262952448545062,-0.23850654471910032,0.1007780950421624,0.13950496806245563,False,-0.09533637626513192,0.15511985702327022
nsl_kdd_v2,rf_5class_smote,fragile,block_greedy_stealth,Probe,0.6641883519206939,0.6414704667492772,,,0.0007541178805318515,-0.03251419446415893,-0.04082554527379273,0.04154380143928582,0.008782824698367636,False,-0.00023814248858899933,0.0006243279553823439
nsl_kdd_v2,rf_5class_smote,fragile,highest_pt,Probe,0.6641883519206939,0.0,0.10001984520738241,0.925,0.10001984520738241,-0.13262952448545062,-0.23850654471910032,0.10117095545665378,0.13950496806245563,False,-0.09533637626513192,0.15549523335393167
nsl_kdd_v2,rf_5class_smote,fragile,random,Probe,0.6641883519206939,0.6480793060718711,,,0.10001984520738241,-0.032647267565649396,-0.03565806634646285,0.0013764099131079455,0.007452093683463449,False,-0.00031752331811862877,0.0995370505375477
nsl_kdd_v2,rf_5class_smote,stable,block_greedy,DoS,0.8435656836461126,0.7324396782841823,,,0.10001984520738241,-0.03681689141234912,-0.021912209039820718,0.04542864608966657,0.010113555713271823,False,-0.00015876165905925888,0.10106733655356319
nsl_kdd_v2,rf_5class_smote,stable,block_greedy_stealth,DoS,0.8435656836461126,0.7533512064343163,,,0.0007541178805318515,-0.03251419446415893,-0.04082554527379273,0.04154380143928582,0.008782824698367636,False,-0.00023814248858899933,0.0006243279553823439
nsl_kdd_v2,rf_5class_smote,stable,highest_pt,DoS,0.8435656836461126,0.8095174262734585,,,0.10001984520738241,-0.011178140525195168,-0.008346947755808354,0.011275904722103713,0.023997515968772178,False,-0.00011907124429444416,0.10108419554282784
nsl_kdd_v2,rf_5class_smote,stable,random,DoS,0.8435656836461126,0.7502680965147454,,,0.10001984520738241,-0.032647267565649396,-0.03565806634646285,0.0013764099131079455,0.007452093683463449,False,-0.00031752331811862877,0.0995370505375477
nsl_kdd_v2,xgb_5class_cw,fragile,block_greedy,R2L,0.07105719237435008,0.0,0.010001984520738241,0.7896825396825397,0.10001984520738241,-0.1606635911994322,-0.21107023612283504,0.14105223973384956,0.18417317246273954,False,-0.09466163921412973,0.06766858020262105
nsl_kdd_v2,xgb_5class_cw,fragile,block_greedy_stealth,R2L,0.07105719237435008,0.0707105719237435,,,0.00031752331811867436,-0.0035929737402412565,0.005023727277286172,0.015087083046159772,0.0020848119233498937,False,0.0,0.00023847211917513812
nsl_kdd_v2,xgb_5class_cw,fragile,highest_pt,R2L,0.07105719237435008,0.0,0.010001984520738241,0.7896825396825397,0.10001984520738241,-0.1606635911994322,-0.21107023612283504,0.14105223973384956,0.18417317246273954,False,-0.09466163921412973,0.06766858020262105
nsl_kdd_v2,xgb_5class_cw,fragile,random,R2L,0.07105719237435008,0.05407279029462738,,,0.10001984520738241,-0.017920511000709682,-0.027879830221048896,0.04105655767914765,0.019295599716110716,False,-3.969041476481472e-05,0.09973712249598674
nsl_kdd_v2,xgb_5class_cw,stable,block_greedy,DoS,0.8469168900804289,0.8412868632707775,,,0.10001984520738241,-0.001641234918381862,0.006264835630611421,0.03310666239390292,0.0004879347054648687,False,0.0,0.10102608552765444
nsl_kdd_v2,xgb_5class_cw,stable,block_greedy_stealth,DoS,0.8469168900804289,0.8364611260053619,,,0.00031752331811867436,-0.0035929737402412565,0.005023727277286172,0.015087083046159772,0.0020848119233498937,False,0.0,0.00023847211917513812
nsl_kdd_v2,xgb_5class_cw,stable,highest_pt,DoS,0.8469168900804289,0.8469168900804289,,,0.10001984520738241,0.0,0.0,0.028850251724746978,0.0023953158268275373,False,0.0,0.10112568667283815
nsl_kdd_v2,xgb_5class_cw,stable,random,DoS,0.8469168900804289,0.8100536193029491,,,0.10001984520738241,-0.017920511000709682,-0.027879830221048896,0.04105655767914765,0.019295599716110716,False,-3.969041476481472e-05,0.09973712249598674
nsl_kdd_v2,xgb_5class_smote,fragile,block_greedy,Probe,0.7059066501445683,0.0,0.10001984520738241,0.925,0.10001984520738241,-0.1152856635911994,-0.2360576404491057,0.15134533014168683,0.15303406671398154,False,-0.09450287755507047,0.13864145392307498
nsl_kdd_v2,xgb_5class_smote,fragile,block_greedy_stealth,Probe,0.7059066501445683,0.701363073110285,,,0.00039690414764834294,-0.0023953158268275043,-0.0018429662234307198,0.022094914885631006,0.005056777856635912,False,-3.969041476481472e-05,0.00033565355994696845
nsl_kdd_v2,xgb_5class_smote,fragile,highest_pt,Probe,0.7059066501445683,0.0,0.10001984520738241,0.925,0.10001984520738241,-0.1152856635911994,-0.2360576404491057,0.15136789488062113,0.15303406671398154,False,-0.09450287755507047,0.1386896861399436
nsl_kdd_v2,xgb_5class_smote,fragile,random,Probe,0.7059066501445683,0.6220570012391574,,,0.10001984520738241,-0.025461320085166772,-0.026451443567020005,0.0182415097106165,0.03202625975869411,False,-0.00011907124429455518,0.09970250114481417
nsl_kdd_v2,xgb_5class_smote,stable,block_greedy,DoS,0.8400804289544236,0.8388739946380697,,,0.10001984520738241,-0.00031050390347764356,-0.00014036185784194188,0.012583732963889371,0.0022622427253371187,False,0.0,0.10111119232385009
nsl_kdd_v2,xgb_5class_smote,stable,block_greedy_stealth,DoS,0.8400804289544236,0.8339142091152815,,,0.00039690414764834294,-0.0023953158268275043,-0.0018429662234307198,0.022094914885631006,0.005056777856635912,False,-3.969041476481472e-05,0.00033565355994696845
nsl_kdd_v2,xgb_5class_smote,stable,highest_pt,DoS,0.8400804289544236,0.8388739946380697,,,0.10001984520738241,-0.00031050390347764356,-0.00014036185784194188,0.012583732963889371,0.0022622427253371187,False,0.0,0.10111119232385009
nsl_kdd_v2,xgb_5class_smote,stable,random,DoS,0.8400804289544236,0.7978552278820376,,,0.10001984520738241,-0.025461320085166772,-0.026451443567020005,0.0182415097106165,0.03202625975869411,False,-0.00011907124429455518,0.09970250114481417
unsw_nb15_v2,dnn_5class_cw,fragile,block_greedy,DoS,0.019320127170457325,0.0,0.005024197421404559,0.7794117647058824,0.10000369426280986,-0.014891035439088651,-0.011378114525142202,0.09641969869974769,0.28103874820756053,True,-0.004359230115630441,0.09423665014528403
