dataset,variant,source,rank,feature_index,feature,mean_abs_shap,share_of_total
cic_ids2017_v2,5class_smote,rf (prob),7,12,Bwd Packet Length Mean,0.051830995710997106,0.026144887869461016
cic_ids2017_v2,5class_smote,rf (prob),8,2,Total Fwd Packets,0.05087133383891612,0.02566080972868876
cic_ids2017_v2,5class_smote,rf (prob),9,42,Packet Length Variance,0.050191828106786,0.025318049553440403
cic_ids2017_v2,5class_smote,rf (prob),10,46,PSH Flag Count,0.05016249218009665,0.02530325175719284
cic_ids2017_v2,5class_smote,dnn (softmax),1,46,PSH Flag Count,0.2616069167268967,0.0845626518244394
cic_ids2017_v2,5class_smote,dnn (softmax),2,37,Bwd Packets/s,0.19175578562296614,0.061983750039318324
cic_ids2017_v2,5class_smote,dnn (softmax),3,66,Init_Win_bytes_forward,0.18142039617312272,0.058642905881021515
cic_ids2017_v2,5class_smote,dnn (softmax),4,38,Min Packet Length,0.12111169786405301,0.039148530422978875
cic_ids2017_v2,5class_smote,dnn (softmax),5,13,Bwd Packet Length Std,0.11371180474036142,0.03675656543372728
cic_ids2017_v2,5class_smote,dnn (softmax),6,47,ACK Flag Count,0.10758464027246509,0.03477600130318981
cic_ids2017_v2,5class_smote,dnn (softmax),7,42,Packet Length Variance,0.10308900330079271,0.03332281730973494
cic_ids2017_v2,5class_smote,dnn (softmax),8,41,Packet Length Std,0.09398556280128259,0.030380192248455628
cic_ids2017_v2,5class_smote,dnn (softmax),9,51,Down/Up Ratio,0.09064741611249272,0.02930115909552974
cic_ids2017_v2,5class_smote,dnn (softmax),10,52,Average Packet Size,0.08937231750842353,0.028888992167197737
cic_ids2017_v2,5class_smote,dnn (logit),1,46,PSH Flag Count,5.565485000610352,0.0688067302107811
cic_ids2017_v2,5class_smote,dnn (logit),2,66,Init_Win_bytes_forward,5.133724689483643,0.0634688287973404
cic_ids2017_v2,5class_smote,dnn (logit),3,6,Fwd Packet Length Max,5.050437927246094,0.062439143657684326
cic_ids2017_v2,5class_smote,dnn (logit),4,38,Min Packet Length,3.512794017791748,0.04342907667160034
cic_ids2017_v2,5class_smote,dnn (logit),5,47,ACK Flag Count,3.4976134300231934,0.04324139654636383
cic_ids2017_v2,5class_smote,dnn (logit),6,37,Bwd Packets/s,3.4776546955108643,0.04299464449286461
cic_ids2017_v2,5class_smote,dnn (logit),7,42,Packet Length Variance,3.2739152908325195,0.040475789457559586
cic_ids2017_v2,5class_smote,dnn (logit),8,13,Bwd Packet Length Std,2.5972368717193604,0.03210993856191635
cic_ids2017_v2,5class_smote,dnn (logit),9,9,Fwd Packet Length Std,2.565420150756836,0.03171658515930176
cic_ids2017_v2,5class_smote,dnn (logit),10,25,Bwd IAT Total,2.2270736694335938,0.02753356657922268
