protocol,dataset,model,n_misclassified,ci_evaluable,auroc_c1,auroc_c2,auroc_c3,auroc_scts,auroc_scts_c1c2,auroc_scts_c1c3,pearson_c1,pearson_c2,pearson_c3,pearson_scts,pearson_scts_c1c2,pearson_scts_c1c3,delta_pearson_vs_c1,delta_pearson_lo,delta_pearson_hi,delta_auroc_vs_c1,delta_auroc_lo,delta_auroc_hi,verdict_pearson,verdict_auroc
v2,cic_ids2017_v2,rf_5class_cw,17,True,0.8258632038776853,0.37355634013524025,0.9176291065765065,0.8777152773622166,0.4479384836335348,0.9271138770869487,0.421795417853226,-0.04883003475427186,0.1910579778462485,0.2003501945738458,-0.029609192562726965,0.20778913715080308,-0.22144522327938018,-0.43839189578760546,-0.00019950835551204527,0.05185207348453125,-0.009844950552392175,0.13880487369746497,c1 better,no difference
v2,cic_ids2017_v2,rf_5class_smote,8,False,0.9025327620967742,0.30657762096774194,0.9808467741935484,0.9724042338709677,0.3845766129032258,0.985320060483871,0.1707524649467654,-0.057962194369050646,0.2611232221430965,0.28236646220640854,-0.047414888839295476,0.302807508215984,0.11161399725964313,,,0.0698714717741935,,,not evaluable,not evaluable
v2,cic_ids2017_v2,xgb_5class_cw,5,False,0.9184924623115578,0.6960804020100503,0.9627135678391959,0.9721608040201005,0.8364824120603015,0.9717587939698492,0.1590995212613263,0.044353049602477185,0.21248394341925306,0.2165772051486013,0.05241872687145696,0.21813767759546163,0.057477683887275005,,,0.05366834170854273,,,not evaluable,not evaluable
v2,cic_ids2017_v2,xgb_5class_smote,6,False,0.9111334674714956,0.49463447350771295,0.971830985915493,0.966130114017438,0.6190476190476191,0.9728370221327968,0.17509911802994335,-0.0016135416043062182,0.24947903502299218,0.2566510762434188,0.013367230267009141,0.2605257969518755,0.08155195821347547,,,0.054996646545942385,,,not evaluable,not evaluable
v2,nsl_kdd_v2,dnn_5class_cw,373,True,0.7314074853231055,0.4153251151275703,0.7037298339682988,0.5294414442149732,0.5137682739629967,0.7073258334722988,0.1998848284793242,-0.15095238682695108,0.10970016113213649,0.00288397290656893,-0.03577660459460994,0.12259345437919111,-0.19700085557275526,-0.24121229645053394,-0.1507440187468547,-0.20196604110813232,-0.24032540144783046,-0.16345396011189434,c1 better,c1 better
v2,nsl_kdd_v2,dnn_5class_smote,377,True,0.7285190593985634,0.5622256472702036,0.5805846613673038,0.625692401360747,0.6492074372740781,0.5818491852974612,0.17926325618770275,0.10732714398970775,0.14949197190087885,0.20430924624036584,0.18874440575976206,0.16141200491226243,0.025045990052663086,-0.02315743907473016,0.07393462273601531,-0.10282665803781643,-0.1434808932926939,-0.06312078070003584,no difference,c1 better
v2,nsl_kdd_v2,rf_5class_cw,376,True,0.7365060692853246,0.5439916632569558,0.6647103450627386,0.5923562806873978,0.6216371726677578,0.671559601745772,0.0835446059947723,0.09425998525898183,0.019552459180736198,0.07214189726535475,0.12777518143536476,0.037011994088783064,-0.011402708729417552,-0.04777326794414832,0.02647518687484698,-0.14414978859792682,-0.1744275300155099,-0.11549939911877925,no difference,c1 better
v2,nsl_kdd_v2,rf_5class_smote,396,True,0.8314184895310723,0.4101591243561442,0.751670262224898,0.5459207137601177,0.5362461535888688,0.7689749314335407,0.18344325173013065,-0.16503387481986082,0.06930370862583661,-0.02890602281085016,-0.0474291582984081,0.07921423088548964,-0.21234927454098082,-0.24680481267269527,-0.17682316725964484,-0.2854977757709546,-0.3191358904847102,-0.2520208102824549,c1 better,c1 better
v2,nsl_kdd_v2,xgb_5class_cw,362,True,0.6146625331231923,0.5386632085765254,0.49468080500181855,0.5637892066021234,0.6003372936836454,0.49464183654029337,0.20447096213752053,0.07941150718939462,0.11153997928934117,0.12017218871976885,0.181580114691739,0.12298340055942751,-0.08429877341775167,-0.12281807919179134,-0.03926865548636708,-0.05087332652106891,-0.08160202326967123,-0.019651675286823697,c1 better,c1 better
v2,nsl_kdd_v2,xgb_5class_smote,359,True,0.6503157062215636,0.5823791168916952,0.5516167721917791,0.6385261538595248,0.6595196398385184,0.5527075122002094,0.19470337589356584,0.13600762419157156,0.09084093733769011,0.145890585691287,0.2457543890224849,0.1055280144843151,-0.048812790202278855,-0.09378694763378953,0.004073262434173353,-0.011789552362038824,-0.045645391957629615,0.022391639600509702,no difference,no difference
v2,unsw_nb15_v2,dnn_5class_cw,433,True,0.8107172387387938,0.4077230755444766,0.8248978660833934,0.7631715075902913,0.6876473966543251,0.8178411557934268,0.5599537794361649,-0.16327379745103995,0.5506830250579571,0.4353251130946696,0.314928595283742,0.5431279832082526,-0.12462866634149528,-0.16001531339902894,-0.0907673109205671,-0.04754573114850247,-0.06217552853594074,-0.03287963174689579,c1 better,c1 better
v2,unsw_nb15_v2,dnn_5class_smote,399,True,0.8189254333837923,0.45688889444910114,0.8235563951476028,0.7903973744677835,0.713211898298158,0.816902906183929,0.5633425132791527,-0.07165742454480398,0.5083737669459921,0.41648419709777407,0.3573766438484412,0.504161376964071,-0.14685831618137868,-0.1858405432588593,-0.106851958543433,-0.028528058916008847,-0.04504420256279392,-0.012189464331680578,c1 better,c1 better
v2,unsw_nb15_v2,rf_5class_cw,418,True,0.8446928591394137,0.47439328170473044,0.8348727371380654,0.786836761538335,0.6853553165951429,0.8305566517042372,0.6149149572167065,0.00257720899269994,0.5598433959895579,0.45324965176839205,0.3413487800679759,0.5704385195664224,-0.16166530544831448,-0.19255078220555089,-0.13159490478353963,-0.05785609760107868,-0.07594278382760702,-0.040168026329700304,c1 better,c1 better
v2,unsw_nb15_v2,rf_5class_smote,412,True,0.8600385542566541,0.46208969024503005,0.8534257149461727,0.822283039429364,0.7428010038967043,0.8520346245294235,0.6380815522022565,-0.04720718224125914,0.5937841595068867,0.5039791553110344,0.39869496249229636,0.5984278661688763,-0.13410239689122205,-0.1670973424129129,-0.10053609363708177,-0.037755514827290115,-0.05387178295734075,-0.02134636197752909,c1 better,c1 better
v2,unsw_nb15_v2,xgb_5class_cw,346,True,0.8573032118930194,0.5012705273019745,0.848440455356985,0.8200204168213395,0.7750503791695391,0.8466926517120079,0.603281161158123,0.028488464656383716,0.5404833821171487,0.4739304270093266,0.42046134272371954,0.5492223231915424,-0.12935073414879644,-0.16410681915978542,-0.09563265944116017,-0.037282795071679864,-0.05118535802055717,-0.023079799638186838,c1 better,c1 better
v2,unsw_nb15_v2,xgb_5class_smote,386,True,0.857918009822619,0.5414338998497915,0.8493527535400246,0.8254143389984979,0.7865247000050632,0.8458464836036522,0.621256921084542,0.06621754099616561,0.5541701422760966,0.5077966459529649,0.46573491410816453,0.563091339045247,-0.11346027513157708,-0.14717113836592688,-0.07942184092962584,-0.03250367082412109,-0.04808180244284312,-0.01697130984405094,c1 better,c1 better
