protocol,dataset,model,predicted_class_idx,predicted_class,mondrian_threshold,is_fallback,n_calib,cliff_fraction,signal_threshold,signal_cliff,signal_support,calib_health
v2,cic_ids2017_v2,xgb_5class_smote,0,Normal,0.00036585330963134766,False,31768,6.295643414756988e-05,red,green,green,red
v2,cic_ids2017_v2,xgb_5class_smote,1,DoS,0.012272477149963379,False,5161,0.0017438480914551443,amber,green,green,amber
v2,cic_ids2017_v2,xgb_5class_smote,2,Probe,0.043100059032440186,False,2049,0.004392386530014641,amber,green,green,amber
v2,cic_ids2017_v2,xgb_5class_smote,3,R2L,0.001849353313446045,True,29,0.10344827586206896,amber,amber,red,red
v2,cic_ids2017_v2,xgb_5class_smote,4,U2R,0.001849353313446045,True,0,,amber,red,red,red
v2,cic_ids2017_v2,dnn_5class_smote,0,Normal,0.007840931415557861,False,31604,0.0003164156435894191,amber,green,green,amber
v2,cic_ids2017_v2,dnn_5class_smote,1,DoS,0.4623229503631592,False,5288,0.00132375189107413,green,green,green,green
v2,cic_ids2017_v2,dnn_5class_smote,2,Probe,0.7884213924407959,False,2066,0.0,green,green,green,green
v2,cic_ids2017_v2,dnn_5class_smote,3,R2L,0.990983784198761,False,49,0.04081632653061224,amber,green,amber,amber
v2,cic_ids2017_v2,dnn_5class_smote,4,U2R,0.1858748197555542,True,0,,green,red,red,red
strict,nsl_kdd_v2,rf_5class_cw,0,Normal,1.2169796308691971e-05,False,2693,0.0,red,green,green,red
strict,nsl_kdd_v2,rf_5class_cw,1,DoS,1.2169796308691971e-05,False,1837,0.0,red,green,green,red
strict,nsl_kdd_v2,rf_5class_cw,2,Probe,1.2169796308691971e-05,False,467,0.0,red,green,green,red
strict,nsl_kdd_v2,rf_5class_cw,3,R2L,0.6129077847329771,False,40,0.0,green,green,amber,amber
strict,nsl_kdd_v2,rf_5class_cw,4,U2R,1.2169796308691971e-05,True,0,,red,red,red,red
strict,nsl_kdd_v2,xgb_5class_cw,0,Normal,2.086162567138672e-06,False,2695,0.0,red,green,green,red
strict,nsl_kdd_v2,xgb_5class_cw,1,DoS,2.0265579223632812e-06,False,1836,0.0,red,green,green,red
strict,nsl_kdd_v2,xgb_5class_cw,2,Probe,2.0265579223632812e-06,False,466,0.0,red,green,green,red
strict,nsl_kdd_v2,xgb_5class_cw,3,R2L,0.4321458041667938,False,40,0.0,green,green,amber,amber
strict,nsl_kdd_v2,xgb_5class_cw,4,U2R,2.0265579223632812e-06,True,0,,red,red,red,red
strict,nsl_kdd_v2,dnn_5class_cw,0,Normal,0.031620092689991,False,2691,0.0014864362690449647,amber,green,green,amber
strict,nsl_kdd_v2,dnn_5class_cw,1,DoS,9.012222290039062e-05,False,1841,0.0021727322107550242,red,green,green,red
