dataset,model,calibrator,target_risk,per_class_thresholds,coverage,achieved_risk,risk_met,thr_Normal,thr_DoS,thr_Probe,thr_R2L,thr_U2R,cov_Normal,cov_DoS,cov_Probe,cov_R2L,cov_U2R,risk_Normal,risk_DoS,risk_Probe,risk_R2L,risk_U2R
nsl_kdd_v2,rf_5class_cw,dirichlet,0.02,False,0.9669978708303761,0.2270183486238532,False,0.5757564426686532,0.5757564426686532,0.5757564426686532,0.5757564426686532,0.5757564426686532,0.9691435768261965,0.9787165946551448,0.9492911668484187,0.5466666666666666,0.5263157894736842,0.3210598512742762,0.03793328973185088,0.15163699023549684,0.024390243902439025,0.4
nsl_kdd_v2,rf_5class_cw,dirichlet,0.05,True,0.9610539389638041,0.22449921536047263,False,0.5928413310760713,0.6289001636407934,0.5757564426686532,0.6379449756465988,0.5757564426686532,0.9633361321018752,0.9727956473035686,0.9492911668484187,0.4533333333333333,0.5263157894736842,0.3170395119116793,0.03767066951801283,0.15163699023549684,0.029411764705882353,0.4
nsl_kdd_v2,rf_5class_cw,dirichlet,0.05,False,0.9669978708303761,0.2270183486238532,False,0.5757564426686532,0.5757564426686532,0.5757564426686532,0.5757564426686532,0.5757564426686532,0.9691435768261965,0.9787165946551448,0.9492911668484187,0.5466666666666666,0.5263157894736842,0.3210598512742762,0.03793328973185088,0.15163699023549684,0.024390243902439025,0.4
nsl_kdd_v2,rf_5class_cw,dirichlet,0.1,True,0.9610539389638041,0.22449921536047263,False,0.5928413310760713,0.6289001636407934,0.5757564426686532,0.6379449756465988,0.5757564426686532,0.9633361321018752,0.9727956473035686,0.9492911668484187,0.4533333333333333,0.5263157894736842,0.3170395119116793,0.03767066951801283,0.15163699023549684,0.029411764705882353,0.4
nsl_kdd_v2,rf_5class_cw,dirichlet,0.1,False,0.9669978708303761,0.2270183486238532,False,0.5757564426686532,0.5757564426686532,0.5757564426686532,0.5757564426686532,0.5757564426686532,0.9691435768261965,0.9787165946551448,0.9492911668484187,0.5466666666666666,0.5263157894736842,0.3210598512742762,0.03793328973185088,0.15163699023549684,0.024390243902439025,0.4
nsl_kdd_v2,xgb_5class_cw,raw,0.02,True,0.940250177430802,0.20833136764636506,False,0.7001485627437437,0.9676850477150613,0.9505817617254652,0.9983251557029573,0.5618041787124254,0.9781592403214024,0.924412352127823,0.7994310099573257,0.3761904761904762,0.9230769230769231,0.29594503771189606,0.035067309290344024,0.1387900355871886,0.012658227848101266,0.2916666666666667
nsl_kdd_v2,xgb_5class_cw,raw,0.02,False,0.9923261178140526,0.2128201689687542,False,0.5618041787124254,0.5618041787124254,0.5618041787124254,0.5618041787124254,0.5618041787124254,0.9934989043097151,0.9960055308035028,0.9758179231863442,0.9761904761904762,0.9230769230769231,0.30666862730681566,0.0354774024371433,0.17006802721088435,0.014634146341463415,0.2916666666666667
nsl_kdd_v2,xgb_5class_cw,raw,0.05,True,0.9458392476933996,0.2071941096468602,False,0.7001485627437437,0.9676850477150613,0.9505817617254652,0.5618041787124254,0.5618041787124254,0.9781592403214024,0.924412352127823,0.7994310099573257,0.9761904761904762,0.9230769230769231,0.29594503771189606,0.035067309290344024,0.1387900355871886,0.014634146341463415,0.2916666666666667
nsl_kdd_v2,xgb_5class_cw,raw,0.05,False,0.9923261178140526,0.2128201689687542,False,0.5618041787124254,0.5618041787124254,0.5618041787124254,0.5618041787124254,0.5618041787124254,0.9934989043097151,0.9960055308035028,0.9758179231863442,0.9761904761904762,0.9230769230769231,0.30666862730681566,0.0354774024371433,0.17006802721088435,0.014634146341463415,0.2916666666666667
nsl_kdd_v2,xgb_5class_cw,raw,0.1,True,0.9458392476933996,0.2071941096468602,False,0.7001485627437437,0.9676850477150613,0.9505817617254652,0.5618041787124254,0.5618041787124254,0.9781592403214024,0.924412352127823,0.7994310099573257,0.9761904761904762,0.9230769230769231,0.29594503771189606,0.035067309290344024,0.1387900355871886,0.014634146341463415,0.2916666666666667
