dataset,model,true_class,class_idx,n,mean_scts,mean_c1,mean_c2,mean_c3,accuracy
cic_ids2017_v2,xgb_5class_cw,R2L,3,200,64.36239624023438,0.9961441159248352,0.47568267583847046,0.808044970035553,0.975
cic_ids2017_v2,xgb_5class_cw,U2R,4,7,59.19892120361328,0.964656412601471,0.5750916600227356,0.7142857313156128,1.0
cic_ids2017_v2,dnn_5class_cw,Normal,0,354,81.50234985351562,0.9699553847312927,0.6198991537094116,0.938470721244812,0.963276836158192
cic_ids2017_v2,dnn_5class_cw,DoS,1,230,75.3968276977539,0.8789029121398926,0.7462623715400696,0.7520008683204651,0.7869565217391304
cic_ids2017_v2,dnn_5class_cw,Probe,2,209,63.10652542114258,0.8820936679840088,0.3875744938850403,0.7585352659225464,0.9952153110047847
cic_ids2017_v2,dnn_5class_cw,R2L,3,200,57.93894958496094,0.7976284623146057,0.4439563751220703,0.5855558514595032,0.23
cic_ids2017_v2,dnn_5class_cw,U2R,4,7,88.54227447509766,0.9764789342880249,0.768564760684967,0.9518303871154785,0.2857142857142857
cic_ids2017_v2,rf_5class_smote,Normal,0,354,72.32000732421875,0.998518705368042,0.41528668999671936,0.9611270427703857,0.9971751412429378
cic_ids2017_v2,rf_5class_smote,DoS,1,230,39.75459289550781,0.9950747489929199,0.26092639565467834,0.4285009503364563,1.0
cic_ids2017_v2,rf_5class_smote,Probe,2,209,44.294063568115234,0.9960665702819824,0.24197861552238464,0.48539501428604126,1.0
cic_ids2017_v2,rf_5class_smote,R2L,3,200,0.9293150305747986,0.98407381772995,0.3078441917896271,0.0002548371267039329,0.975
cic_ids2017_v2,rf_5class_smote,U2R,4,7,8.820036888122559,0.9625994563102722,0.32312923669815063,0.08250104635953903,0.7142857142857143
cic_ids2017_v2,xgb_5class_smote,Normal,0,354,76.65357971191406,0.9987186193466187,0.4730397164821625,0.9734116196632385,1.0
cic_ids2017_v2,xgb_5class_smote,DoS,1,230,60.35600280761719,0.9983346462249756,0.4446476101875305,0.7810873985290527,1.0
cic_ids2017_v2,xgb_5class_smote,Probe,2,209,45.02010726928711,0.9953992962837219,0.40009114146232605,0.5933011174201965,1.0
cic_ids2017_v2,xgb_5class_smote,R2L,3,200,61.63615417480469,0.995819091796875,0.37501829862594604,0.8456200957298279,0.975
cic_ids2017_v2,xgb_5class_smote,U2R,4,7,39.57476806640625,0.9957987666130066,0.4501570165157318,0.48845475912094116,0.8571428571428571
cic_ids2017_v2,dnn_5class_smote,Normal,0,354,69.14984130859375,0.9830455183982849,0.3903450071811676,0.9500046968460083,0.9887005649717514
cic_ids2017_v2,dnn_5class_smote,DoS,1,230,73.23191833496094,0.965505063533783,0.521600067615509,0.897819995880127,0.9826086956521739
cic_ids2017_v2,dnn_5class_smote,Probe,2,209,46.41547393798828,0.9012611508369446,0.35584649443626404,0.6368109583854675,0.9425837320574163
cic_ids2017_v2,dnn_5class_smote,R2L,3,200,67.2715835571289,0.9848455190658569,0.35383087396621704,0.9280905723571777,0.955
cic_ids2017_v2,dnn_5class_smote,U2R,4,7,60.929508209228516,0.8947120308876038,0.6026830673217773,0.5679324269294739,0.42857142857142855
