dataset,model,class,metric,point,lo_95,hi_95,n
cic_ids2017_v2,rf_5class_smote,R2L,brier_per_class,0.00037703469010941205,0.0002219229600851311,0.0005667304213706301,40007
cic_ids2017_v2,rf_5class_smote,U2R,brier_per_class,5.0079089502068706e-05,3.808934908913021e-08,0.00012441213158255043,40007
cic_ids2017_v2,rf_5class_smote,OVERALL,ece_top_label,0.0002653462090973634,0.00015038581091721985,0.000646496333739089,40007
cic_ids2017_v2,xgb_5class_smote,Normal,brier_per_class,0.0010085409646255546,0.000740302510017158,0.001338645345850163,40007
cic_ids2017_v2,xgb_5class_smote,DoS,brier_per_class,0.0004424086167751704,0.00027186957589597744,0.0006302203367797472,40007
cic_ids2017_v2,xgb_5class_smote,Probe,brier_per_class,0.00030602645440266034,0.0001648743060546411,0.0004768148498949616,40007
cic_ids2017_v2,xgb_5class_smote,R2L,brier_per_class,0.0002845176574714005,0.00014877371813528425,0.0004508796529769552,40007
cic_ids2017_v2,xgb_5class_smote,U2R,brier_per_class,2.5010805094790784e-05,9.373672039165985e-11,7.50173769967625e-05,40007
cic_ids2017_v2,xgb_5class_smote,OVERALL,ece_top_label,0.0002487184753639905,0.00010634744446978356,0.0006229861244046732,40007
cic_ids2017_v2,dnn_5class_smote,Normal,brier_per_class,0.013246878270119024,0.012526178177296954,0.013986479087561392,40007
cic_ids2017_v2,dnn_5class_smote,DoS,brier_per_class,0.005693591834777947,0.005244675911675697,0.006173357751967952,40007
cic_ids2017_v2,dnn_5class_smote,Probe,brier_per_class,0.0068463351162584484,0.006323043426873455,0.007360624991726777,40007
cic_ids2017_v2,dnn_5class_smote,R2L,brier_per_class,0.000674169257409611,0.00046160012151272246,0.0008894817222366178,40007
cic_ids2017_v2,dnn_5class_smote,U2R,brier_per_class,0.00010155594462097631,2.57397418292888e-05,0.0002018237415827557,40007
cic_ids2017_v2,dnn_5class_smote,OVERALL,ece_top_label,0.0011734997519676402,0.0008162539701399402,0.002496913701335312,40007
