dataset,model,rep,method,level,selected_frac_of_window,realised_recall,has_recall_lower_bound
nsl_kdd_v2,rf_5class_cw,13,conformal_selection_fdr,0.1,0.6061923349893541,0.9709102283390679,False
nsl_kdd_v2,rf_5class_cw,13,conformal_selection_fdr,0.2,0.6310326472675657,0.9867062871441977,False
nsl_kdd_v2,rf_5class_cw,14,fixed_risk_crc,0.05,0.24423349893541518,0.4249767008387698,False
nsl_kdd_v2,rf_5class_cw,14,dual_threshold_deferral,0.05,0.24423349893541518,0.4249767008387698,False
nsl_kdd_v2,rf_5class_cw,14,fixed_risk_crc,0.1,0.24423349893541518,0.4249767008387698,False
nsl_kdd_v2,rf_5class_cw,14,dual_threshold_deferral,0.1,0.24423349893541518,0.4249767008387698,False
nsl_kdd_v2,rf_5class_cw,14,fixed_risk_crc,0.2,0.24423349893541518,0.4249767008387698,False
nsl_kdd_v2,rf_5class_cw,14,dual_threshold_deferral,0.2,0.24423349893541518,0.4249767008387698,False
nsl_kdd_v2,rf_5class_cw,14,conformal_selection_fdr,0.05,0.5899574166075231,0.9426840633737186,False
nsl_kdd_v2,rf_5class_cw,14,conformal_selection_fdr,0.1,0.6203867991483322,0.9804287045666356,False
nsl_kdd_v2,rf_5class_cw,14,conformal_selection_fdr,0.2,0.6354684173172462,0.9858651755203479,False
nsl_kdd_v2,rf_5class_cw,15,fixed_risk_crc,0.05,0.24875798438608943,0.43145474305232107,False
nsl_kdd_v2,rf_5class_cw,15,dual_threshold_deferral,0.05,0.24875798438608943,0.43145474305232107,False
nsl_kdd_v2,rf_5class_cw,15,fixed_risk_crc,0.1,0.24237047551454932,0.4215183977643223,False
nsl_kdd_v2,rf_5class_cw,15,dual_threshold_deferral,0.1,0.24237047551454932,0.4215183977643223,False
nsl_kdd_v2,rf_5class_cw,15,fixed_risk_crc,0.2,0.24237047551454932,0.4215183977643223,False
nsl_kdd_v2,rf_5class_cw,15,dual_threshold_deferral,0.2,0.24237047551454932,0.4215183977643223,False
nsl_kdd_v2,rf_5class_cw,15,conformal_selection_fdr,0.05,0.5896912704045423,0.9403819282720075,False
nsl_kdd_v2,rf_5class_cw,15,conformal_selection_fdr,0.1,0.6189673527324343,0.9771774569166278,False
nsl_kdd_v2,rf_5class_cw,15,conformal_selection_fdr,0.2,0.6330731014904187,0.9832324173265021,False
nsl_kdd_v2,rf_5class_cw,16,fixed_risk_crc,0.05,0.23873314407381122,0.41601623477989386,False
nsl_kdd_v2,rf_5class_cw,16,dual_threshold_deferral,0.05,0.23873314407381122,0.41601623477989386,False
nsl_kdd_v2,rf_5class_cw,16,fixed_risk_crc,0.1,0.23873314407381122,0.41601623477989386,False
nsl_kdd_v2,rf_5class_cw,16,dual_threshold_deferral,0.1,0.23873314407381122,0.41601623477989386,False
nsl_kdd_v2,rf_5class_cw,16,fixed_risk_crc,0.2,0.23873314407381122,0.41601623477989386,False
nsl_kdd_v2,rf_5class_cw,16,dual_threshold_deferral,0.2,0.23873314407381122,0.41601623477989386,False
nsl_kdd_v2,rf_5class_cw,16,conformal_selection_fdr,0.05,0.5846344925479063,0.9388073680924134,False
nsl_kdd_v2,rf_5class_cw,16,conformal_selection_fdr,0.1,0.6147090134847409,0.977677177645957,False
nsl_kdd_v2,rf_5class_cw,16,conformal_selection_fdr,0.2,0.6304116394606104,0.9843896347174523,False
nsl_kdd_v2,rf_5class_cw,17,fixed_risk_crc,0.05,0.2429914833215046,0.42361761949390814,False
nsl_kdd_v2,rf_5class_cw,17,dual_threshold_deferral,0.05,0.2429914833215046,0.42361761949390814,False
nsl_kdd_v2,rf_5class_cw,17,fixed_risk_crc,0.1,0.2429914833215046,0.42361761949390814,False
nsl_kdd_v2,rf_5class_cw,17,dual_threshold_deferral,0.1,0.2429914833215046,0.42361761949390814,False
nsl_kdd_v2,rf_5class_cw,17,fixed_risk_crc,0.2,0.2429914833215046,0.42361761949390814,False
nsl_kdd_v2,rf_5class_cw,17,dual_threshold_deferral,0.2,0.2429914833215046,0.42361761949390814,False
nsl_kdd_v2,rf_5class_cw,17,conformal_selection_fdr,0.05,0.587473385379702,0.9429865666979069,False
nsl_kdd_v2,rf_5class_cw,17,conformal_selection_fdr,0.1,0.6176366217175302,0.9810996563573883,False
nsl_kdd_v2,rf_5class_cw,17,conformal_selection_fdr,0.2,0.634403832505323,0.9867228990940331,False
nsl_kdd_v2,rf_5class_cw,18,fixed_risk_crc,0.05,0.23891057487579845,0.41719894064496027,False
nsl_kdd_v2,rf_5class_cw,18,dual_threshold_deferral,0.05,0.23891057487579845,0.41719894064496027,False
nsl_kdd_v2,rf_5class_cw,18,fixed_risk_crc,0.1,0.23891057487579845,0.41719894064496027,False
nsl_kdd_v2,rf_5class_cw,18,dual_threshold_deferral,0.1,0.23891057487579845,0.41719894064496027,False
nsl_kdd_v2,rf_5class_cw,18,fixed_risk_crc,0.2,0.23891057487579845,0.41719894064496027,False
nsl_kdd_v2,rf_5class_cw,18,dual_threshold_deferral,0.2,0.23891057487579845,0.41719894064496027,False
nsl_kdd_v2,rf_5class_cw,18,conformal_selection_fdr,0.05,0.5790454222853088,0.9292724723477177,False
nsl_kdd_v2,rf_5class_cw,18,conformal_selection_fdr,0.1,0.6077892122072391,0.9691540738432778,False
nsl_kdd_v2,rf_5class_cw,18,conformal_selection_fdr,0.2,0.6330731014904187,0.9837980993924287,False
nsl_kdd_v2,rf_5class_cw,19,fixed_risk_crc,0.05,0.24015259048970902,0.41962193407280113,False
nsl_kdd_v2,rf_5class_cw,19,dual_threshold_deferral,0.05,0.24015259048970902,0.41962193407280113,False
nsl_kdd_v2,rf_5class_cw,19,fixed_risk_crc,0.1,0.24015259048970902,0.41962193407280113,False
nsl_kdd_v2,rf_5class_cw,19,dual_threshold_deferral,0.1,0.24015259048970902,0.41962193407280113,False
nsl_kdd_v2,rf_5class_cw,19,fixed_risk_crc,0.2,0.24015259048970902,0.41962193407280113,False
nsl_kdd_v2,rf_5class_cw,19,dual_threshold_deferral,0.2,0.24015259048970902,0.41962193407280113,False
nsl_kdd_v2,rf_5class_cw,19,conformal_selection_fdr,0.05,0.5853442157558553,0.9379784408686143,False
nsl_kdd_v2,rf_5class_cw,19,conformal_selection_fdr,0.1,0.6161284599006388,0.9770348383065146,False
nsl_kdd_v2,rf_5class_cw,19,conformal_selection_fdr,0.2,0.6305890702625976,0.9828151851273239,False
nsl_kdd_v2,xgb_5class_cw,0,fixed_risk_crc,0.05,0.28894606103619586,0.4960112623181605,False
nsl_kdd_v2,xgb_5class_cw,0,dual_threshold_deferral,0.05,0.2890347764371895,0.4961676834037228,False
nsl_kdd_v2,xgb_5class_cw,0,fixed_risk_crc,0.1,0.2739531582682754,0.4703582042859377,False
nsl_kdd_v2,xgb_5class_cw,0,dual_threshold_deferral,0.1,0.2747515968772179,0.4717659940559987,False
nsl_kdd_v2,xgb_5class_cw,0,fixed_risk_crc,0.2,0.21220723917672107,0.36524323478804943,False
nsl_kdd_v2,xgb_5class_cw,0,dual_threshold_deferral,0.2,0.2122959545777147,0.3653996558736118,False
nsl_kdd_v2,xgb_5class_cw,0,conformal_selection_fdr,0.05,0.5335344215755855,0.8778351321758173,False
nsl_kdd_v2,xgb_5class_cw,0,conformal_selection_fdr,0.1,0.5619233498935415,0.9017675582668544,False
nsl_kdd_v2,xgb_5class_cw,0,conformal_selection_fdr,0.2,0.5889815471965933,0.9302361958391991,False
nsl_kdd_v2,xgb_5class_cw,1,fixed_risk_crc,0.05,0.29205110007097235,0.4958230198019802,False
nsl_kdd_v2,xgb_5class_cw,1,dual_threshold_deferral,0.05,0.2924946770759404,0.4964418316831683,False
nsl_kdd_v2,xgb_5class_cw,1,fixed_risk_crc,0.1,0.27732434350603263,0.4712252475247525,False
nsl_kdd_v2,xgb_5class_cw,1,dual_threshold_deferral,0.1,0.27732434350603263,0.4712252475247525,False
nsl_kdd_v2,xgb_5class_cw,1,fixed_risk_crc,0.2,0.21336053938963803,0.36324257425742573,False
nsl_kdd_v2,xgb_5class_cw,1,dual_threshold_deferral,0.2,0.21336053938963803,0.36324257425742573,False
nsl_kdd_v2,xgb_5class_cw,1,conformal_selection_fdr,0.05,0.5361071682044003,0.8757735148514851,False
nsl_kdd_v2,xgb_5class_cw,1,conformal_selection_fdr,0.1,0.5658268275372604,0.9023824257425742,False
nsl_kdd_v2,xgb_5class_cw,1,conformal_selection_fdr,0.2,0.591820440028389,0.9299195544554455,False
nsl_kdd_v2,xgb_5class_cw,2,fixed_risk_crc,0.05,0.2916962384669979,0.4958100558659218,False
nsl_kdd_v2,xgb_5class_cw,2,dual_threshold_deferral,0.05,0.2916962384669979,0.4958100558659218,False
nsl_kdd_v2,xgb_5class_cw,2,fixed_risk_crc,0.1,0.27750177430801987,0.4712911235257604,False
nsl_kdd_v2,xgb_5class_cw,2,dual_threshold_deferral,0.1,0.27750177430801987,0.4712911235257604,False
nsl_kdd_v2,xgb_5class_cw,2,fixed_risk_crc,0.2,0.20910220014194464,0.35567970204841715,False
nsl_kdd_v2,xgb_5class_cw,2,dual_threshold_deferral,0.2,0.20910220014194464,0.35567970204841715,False
nsl_kdd_v2,xgb_5class_cw,2,conformal_selection_fdr,0.05,0.5369056068133428,0.8756983240223464,False
nsl_kdd_v2,xgb_5class_cw,2,conformal_selection_fdr,0.1,0.5656493967352733,0.9008379888268156,False
nsl_kdd_v2,xgb_5class_cw,2,conformal_selection_fdr,0.2,0.5924414478353442,0.9284605834885165,False
nsl_kdd_v2,xgb_5class_cw,3,fixed_risk_crc,0.05,0.29941447835344215,0.503531941031941,False
nsl_kdd_v2,xgb_5class_cw,3,dual_threshold_deferral,0.05,0.29941447835344215,0.503531941031941,False
nsl_kdd_v2,xgb_5class_cw,3,fixed_risk_crc,0.1,0.284332860184528,0.4780405405405405,False
nsl_kdd_v2,xgb_5class_cw,3,dual_threshold_deferral,0.1,0.284332860184528,0.4780405405405405,False
nsl_kdd_v2,xgb_5class_cw,3,fixed_risk_crc,0.2,0.21744144783534422,0.3664004914004914,False
nsl_kdd_v2,xgb_5class_cw,3,dual_threshold_deferral,0.2,0.21744144783534422,0.3664004914004914,False
nsl_kdd_v2,xgb_5class_cw,3,conformal_selection_fdr,0.05,0.5443577004968062,0.8854422604422605,False
nsl_kdd_v2,xgb_5class_cw,3,conformal_selection_fdr,0.1,0.5689318665720369,0.9052518427518428,False
nsl_kdd_v2,xgb_5class_cw,3,conformal_selection_fdr,0.2,0.5957239176721079,0.9332002457002457,False
nsl_kdd_v2,xgb_5class_cw,4,fixed_risk_crc,0.05,0.2912526614620298,0.5016543248778951,False
nsl_kdd_v2,xgb_5class_cw,4,dual_threshold_deferral,0.05,0.2912526614620298,0.5016543248778951,False
nsl_kdd_v2,xgb_5class_cw,4,fixed_risk_crc,0.1,0.27634847409510294,0.47597290058295255,False
nsl_kdd_v2,xgb_5class_cw,4,dual_threshold_deferral,0.1,0.2765259048970901,0.476288010083504,False
nsl_kdd_v2,xgb_5class_cw,4,fixed_risk_crc,0.2,0.2066181689141235,0.35638884512368046,False
nsl_kdd_v2,xgb_5class_cw,4,dual_threshold_deferral,0.2,0.20715046132008516,0.3573341736253348,False
nsl_kdd_v2,xgb_5class_cw,4,conformal_selection_fdr,0.05,0.5299858055358411,0.8736410902788719,False
nsl_kdd_v2,xgb_5class_cw,4,conformal_selection_fdr,0.1,0.5573101490418737,0.8988498503229873,False
nsl_kdd_v2,xgb_5class_cw,4,conformal_selection_fdr,0.2,0.584457061745919,0.9272097053726169,False
nsl_kdd_v2,xgb_5class_cw,5,fixed_risk_crc,0.05,0.2975514549325763,0.5025545750116117,False
nsl_kdd_v2,xgb_5class_cw,5,dual_threshold_deferral,0.05,0.29764017033356993,0.5027093977395882,False
nsl_kdd_v2,xgb_5class_cw,5,fixed_risk_crc,0.1,0.2823811213626686,0.4766991794395417,False
nsl_kdd_v2,xgb_5class_cw,5,dual_threshold_deferral,0.1,0.2823811213626686,0.4766991794395417,False
nsl_kdd_v2,xgb_5class_cw,5,fixed_risk_crc,0.2,0.21327182398864442,0.36135624709707387,False
nsl_kdd_v2,xgb_5class_cw,5,dual_threshold_deferral,0.2,0.21327182398864442,0.36135624709707387,False
nsl_kdd_v2,xgb_5class_cw,5,conformal_selection_fdr,0.05,0.535486160397445,0.8745935903390618,False
nsl_kdd_v2,xgb_5class_cw,5,conformal_selection_fdr,0.1,0.5652058197303051,0.9016875677349435,False
nsl_kdd_v2,xgb_5class_cw,5,conformal_selection_fdr,0.2,0.5927075940383251,0.9307942405945193,False
nsl_kdd_v2,xgb_5class_cw,6,fixed_risk_crc,0.05,0.2955110007097232,0.505874980416732,False
nsl_kdd_v2,xgb_5class_cw,6,dual_threshold_deferral,0.05,0.29559971611071684,0.5060316465611782,False
nsl_kdd_v2,xgb_5class_cw,6,fixed_risk_crc,0.1,0.2803406671398155,0.47971173429421904,False
nsl_kdd_v2,xgb_5class_cw,6,dual_threshold_deferral,0.1,0.2803406671398155,0.47971173429421904,False
nsl_kdd_v2,xgb_5class_cw,6,fixed_risk_crc,0.2,0.2116749467707594,0.3634654551151496,False
nsl_kdd_v2,xgb_5class_cw,6,dual_threshold_deferral,0.2,0.2116749467707594,0.3634654551151496,False
nsl_kdd_v2,xgb_5class_cw,6,conformal_selection_fdr,0.05,0.5314052519517388,0.8763904120319599,False
nsl_kdd_v2,xgb_5class_cw,6,conformal_selection_fdr,0.1,0.5590844570617459,0.8989503368322106,False
nsl_kdd_v2,xgb_5class_cw,6,conformal_selection_fdr,0.2,0.5877395315826828,0.9279335735547548,False
